Early Game,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,
Minimax,6600875504,6375458423,6371036491,6378842340,6398895754,6368035441,6411016395,6260656576,6282664197,6392128900,6402637436,6390948269,6470370812,6419608429,6537916476,6393345720,6431935610,6390776806,6338360382,6424520411,6360151391,6437971594,6401944123,6342876035,6663947702,6409375490,6473833434,6372255709,6469646321,6510728012,6499657075,6391641513,6427070346,6376699133,6379676174,6413112692,6473412135,6500995593,6467864606,6441237118,6472177704,6441599484,6467006016,6480289351,6454223095,6483612039,6535064445,6383436623,6422921778,6600226939,6473913636,6480488510,6471901967,6491423504,6534410937,6417345371,6302314274,6446167964,6447562377,6474876224,6402086299,6368552467,6459807804,6440038233,6469221977,6413663560,6408593525,6418463708,6485426389,6453078149,6389272861,6420563638,6441001734,6331306352,6390773890,6404624061,6528604040,6471643709,6347310174,6398425986,6350883264,6386052902,6429155786,6387979896,6336952651,6423861600,6432902852,6374754256,6361298753,6383610964,6483247641,6428974385,6350143476,6389890114,6424118175,6368367988,6339455966,6385384806,6372290811,6319320087,
Parallel Minimax,1024273906,519122662,508102042,516682111,522385784,594343783,547444625,604100792,565002025,527078726,507220533,528354110,504830438,490709339,497047823,488502515,485052098,487083447,478922717,478519120,481607317,486789950,498222752,502936266,481547844,494341375,501245590,514376922,479945326,491779795,483425271,483058853,486518133,483780863,479732956,490777559,478890429,481708692,494114695,471119893,497324549,497552390,472021506,473990626,489984022,475609569,481810634,471846071,496907524,491620563,480791629,493809127,484214582,487194329,495385874,477095056,501283975,485239635,482716417,486580410,470466405,494685746,495900300,483762041,479055800,478525553,480667644,501198480,474446457,491418036,487557486,507495380,490410452,516154983,490085015,519072497,620196323,523135291,515637690,503057443,519835305,509730398,539161244,519138298,563767976,553073791,530193032,543090569,565597553,524426396,536018958,615910745,560576707,612311916,612086467,554767055,589197238,515852446,544654811,577165507,
Alphabeta,384194470,324194183,339674435,322143249,327392695,323335426,325454147,303827308,305807658,323093794,327298353,319736493,324104312,327258932,317977759,326862049,335577523,322632713,314920578,330136198,325849605,328773934,323092590,323164304,326075970,315736822,317537404,320093630,326898010,333143616,335773368,324086986,327566039,322558750,323231015,316849787,322549549,321892568,329530104,325947354,322040383,332043453,322654172,331176746,336803235,330012227,319966040,339215455,325927115,326601015,322958371,334517299,328737464,329981836,323404958,332710771,320012138,325964017,325913840,331761419,330585591,319488590,322723073,324570968,335325695,339149467,331546792,320753514,328767376,328173469,319298007,322143739,329255065,317308034,328147246,316555536,322447946,323538627,319420067,316347957,318506343,320617123,323861910,322960547,317138461,325459932,326239047,291073456,312991675,317759537,313372587,321783634,324200671,316459408,320168772,317882545,324875829,328030339,318296319,323519475,
Jamboree,109311991,72214861,74201795,77430752,76646601,71176266,73157908,72153328,68708234,70323485,69770746,69899578,68935151,71438384,71822977,74392098,71393902,69835936,73605040,65816981,71209643,70478709,70874318,70650502,70065211,75488292,71830891,77313024,71498330,74872333,70448718,72958410,70335478,69129855,66511028,71224365,72585496,70815638,69955760,71908567,70157216,67939475,67487922,73244990,70175585,68528532,70083460,72669494,76914136,70493963,70357079,70318838,71779352,80873694,68258067,76097013,68469661,65056554,69357088,71200455,69588098,67571089,71016872,71363714,71083280,73704085,70928673,72377378,66127008,67842962,71147581,70245662,70238916,71942809,71440863,69932925,71119829,70028269,72094790,69218779,72945332,68114597,74198109,72564859,72292841,72441143,69289694,72692568,70350894,72883208,69603511,71314014,77544793,69395338,70256203,69603012,74311053,69751614,72873613,68244957,
Middle Game,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,
Minimax,48122248911,47868622498,47230616286,47216900019,48201456386,47760272037,47317202883,47948141790,47689692560,47284908011,46932202373,47311348030,47394162473,47960351814,47395141626,48261030762,47356749354,47259577938,48924341399,47895648559,47651993847,47401972766,47042735410,47680510892,47571412846,47728677780,47556933598,46543244314,47266280713,47156491447,47060008633,47153609031,47281976261,47748056780,47286645251,48013142102,45899224241,47017533983,47193971832,47180062297,47560755808,46646870028,46552251810,46339069441,46024493540,45642956798,46174938028,46523103940,45980399119,43752924356,47198543334,54236219389,51164069252,48539751738,48792948271,49710861714,48227649795,48921023367,50845541036,48650566936,48312915121,48565752311,48597316777,48444726047,51282589407,52230995199,53101765458,50548831731,51968743285,48032904631,48327765428,55262368209,55032101865,48466578190,48920377633,50692299347,51365456007,48659501399,48400983399,48607395920,49999714339,48330371723,48007070935,48501148473,58348140057,48571369723,53262575305,48408640174,51319919086,48097185749,48577837040,51571654965,48350134668,48250028710,50545268041,56548094860,49969738760,47980429914,48052947483,50105520748,
Parallel Minimax,4376997421,4278499175,4300660127,4279832599,4353521843,4537637263,4379526293,4325182968,4144952241,4087282742,4102335594,4227854659,4347934265,4405890778,4224863221,4244156074,4260430835,4316182372,4218008298,4214927797,4295188665,4205676338,4128886431,4198211656,4195454604,4269415390,4131422558,4241078502,4169259432,4052286977,4134963011,4164742489,4242827145,4098632946,4117856970,4371426147,4221026616,4293919713,4092671627,4194145080,4152663695,4119936167,3991098850,4098223523,4046071786,4049277629,4134416667,4194309025,4088638732,4067401527,4280967440,4247505375,4707791235,5203488202,4665542147,4973694870,4757120631,4360263615,4766811114,4634415811,4922530767,4750860065,4717198669,5265563480,5074042774,4706640109,5174241709,4712459803,4809660079,4811389036,5327682356,5150853780,4680458625,4480716170,4925427452,4775924330,4844482353,4572329438,4498567479,5167930884,5110285261,4380925304,4642864989,4412560122,4687910668,5661850248,5087164530,4537955774,4919298353,5050898338,5022585769,4852949884,4893712025,4641496594,5177629934,5361759357,4368062327,4947698268,5106870610,5355665011,
Alphabeta,837196365,832580565,804757273,851889753,833039759,835513088,813594537,786747313,759030512,763636074,751288234,740927896,848272348,855558046,818182344,759866036,834129378,765249556,798618252,762727607,785958548,763185424,757426772,788107400,831620647,790866726,794921674,749027737,758217176,759835195,745857114,771327059,737255291,748589957,768136286,765981394,751127849,731476336,766905863,753679360,787993159,749291205,747777314,734177625,734791935,689957332,724222291,741265853,719564215,684271852,845116528,735785180,1103761416,883633504,842363738,877033761,936034879,875157714,867527875,883787539,857765630,813638595,859407448,852709507,968104113,1060742525,1049382466,926491954,1091554952,862792475,871003288,1008196112,1141402823,832846933,863709997,885474504,866867742,830402772,751519489,981874585,821995661,838406890,811792059,763319397,860189570,860077133,1081598120,866158016,834942014,868139268,866124189,784561252,863045009,766438117,862819813,867394785,844656759,805150854,891118379,860977722,
Jamboree,253865590,227924853,229173657,225925423,230918718,233791798,221521629,222502011,221118736,219433713,223543413,216529430,222787638,228322095,224979891,227108655,227651919,224328358,226294921,324444389,222325435,220594418,217759572,223328673,226985418,220551964,224520036,217437527,216926824,215282094,212221833,215992596,213565056,211468333,219961308,225348773,223526035,216132741,219001416,218397638,225612035,216329069,219829583,214693665,217622152,211251146,207012522,211363855,216778185,214162798,221279367,215407769,340740686,243014996,235104909,247154277,262324825,229675730,230935802,230953566,232880574,226238096,245294463,237094430,251558294,282427460,322695812,263800062,261909953,243052775,238665220,276641005,248674922,224493235,242286554,233837628,235171582,229712176,215319200,308828263,224254154,230603478,218807495,224022675,235374394,246745167,280397423,219560464,229445405,242155377,236039516,228384631,239854639,216196798,242117568,235096845,221776734,225690870,245157943,238700302,
End Game,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,
Minimax,6364019514,6862201617,6198404958,6130468568,6222175526,6219542331,6221356899,6205740096,6253203371,6160393906,6175861894,6134580165,6164509696,6221163134,6061773753,6111676089,6173210784,6154324123,6191282864,6065427010,6298549206,6131282182,6177831081,6200761682,6243752393,6133460370,6201039264,6144737983,6144710265,6116612081,6191297659,6286450763,6130376689,6132423830,6196180736,6254388359,6173315469,6179206894,6201025900,6152254489,6217174903,6155062175,6162151047,6110928553,6276479931,6227755740,6190830144,6260476784,6160723612,6189786711,6088811925,6226858793,6135637744,6094448106,6164652289,6160431647,6168032663,6219461801,6118246535,6211351515,6194409597,5910641233,6275431477,8298352181,6205141430,6090160281,6205846890,6208113266,6280507634,6244752335,6197087804,6175513455,6102215108,6275577482,6261261353,6128690303,6260520044,6215467311,6217867512,6157971758,6160131915,6119856928,6139942569,6161443444,6185137221,6153673511,6168301892,6239383440,6109203290,6151327361,6137317893,6145470034,6178937713,6238580838,6200008913,6166630101,6115877045,6156169093,6116869480,6236471519,
Parallel Minimax,732221138,737828649,584415588,654519042,758941779,744355376,701097875,692844706,819986702,800569484,733698941,773630545,654585780,719122201,682481011,646278101,722564939,697308503,697715933,658959994,645817578,727274723,703901379,694337099,685789614,706239085,715152329,732291141,641685419,737513744,774390991,690488880,734467053,733240772,728285965,694796191,687030742,750255821,698818375,630486868,558714630,731704005,772141958,686860345,664544228,685652263,772641892,671550103,640615537,693083141,671713759,686881487,744801081,757542173,643290628,589651415,750618201,745186998,774688250,684153219,737874850,673424216,636114926,650460297,620332017,651111789,722943161,688400638,730800031,680812381,643690736,744802068,705019232,646124641,732942089,784282554,730618996,620906446,768333867,723072473,680059467,681574011,694144441,713429775,756370545,748651693,686993342,671891806,721899817,702767840,754609787,734003095,561686220,678318221,707953624,624740828,750883161,738971003,753403986,744663771,
Alphabeta,737602372,1122284345,727909975,763555924,731579486,719721900,729223861,736717214,734682133,740837489,723716315,724653417,706771035,954367250,669892966,721429516,903916904,742347239,736364335,691298012,846266334,736780947,734584358,976821332,737496659,701489270,736551546,800812035,661882207,735777650,738870477,709562175,747175923,732844415,726499925,719790036,719820387,725088014,739212713,741967357,738492286,727781069,728016531,660909892,690440887,977467637,736043952,708929438,677368677,1085781995,653353232,686160694,735833802,726495421,704293874,738807206,733212297,721017686,730744629,731377754,700800525,658157469,708473538,861136911,739310304,648904180,732655593,728785077,702563440,672954603,733938246,722444124,741100229,740202795,722110240,734256917,729045655,689940671,740376292,730733917,740486618,674333949,726471057,726206386,731415478,839776308,723685810,731424398,749112581,737848037,742075567,733218703,727492478,699801920,719476462,738750118,724103687,735158341,727030006,743840267,
Jamboree,92526756,64954177,61045042,77465253,62672988,64461748,63275097,63606706,63061559,67140156,63913652,68698508,62118823,69091257,59574584,60177365,65891511,63391234,63682880,59960989,63145451,64354438,64854773,92079972,63654829,62255765,62545421,65369640,61707587,64409690,63526824,63143441,65813337,94574958,63493052,61433703,85487260,63364118,63421700,86927765,89679847,64246994,70748643,60622275,62334223,69554121,64097314,59693602,62539591,65180548,60739499,61915427,68379849,81654522,61526365,62221480,68745922,63798279,70354828,60532268,60129910,60109447,64100975,66379542,75405481,59023872,64163960,62960439,60454671,61909779,63936834,64963849,64294804,61526257,61429672,64809151,63148984,61942146,64360258,65303047,88096040,61003697,63099232,66209573,65400731,62825380,64699251,63284196,61888226,65086466,66468099,64854765,59998073,61051331,62292101,102103980,63469032,63046949,88890687,66550436,
Algorithm,Early Avg,Middle Avg,End Avg
Minimax,6.42306193735E9,4.86386919555E10,6.20706538865E9,
Parallel Minimax,5.1473162999E8,4.52574509627E9,7.025050921E8,
Alphabeta,3.2459120003E8,8.2930616576E8,7.4290293304E8,
Jamboree,7.161538091E7,2.3325705046E8,6.651510929E7,
